group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,reference_group,direction
siPRRX1/mmMYOD1_med_G1S,AASDHPPT,2.6983988,0.2780774,0.0069673935373834265,0.025147466935847563,0.4477434679334917,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,AHCTF1,2.6977084,0.2973844,0.006981858178705898,0.02519243715027596,0.35629453681710216,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,SLC4A8,2.6975288,0.88459307,0.006985623400526105,0.025202404136169414,0.13064133016627077,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,SMAP2,2.6974735,0.3224683,0.006986782297155398,0.025202966632632908,0.34323040380047504,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,PRKRA,2.697239,0.3151155,0.006991709534433076,0.02521350131762835,0.3669833729216152,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ENSG00000287559,2.696576,3.4121025,0.007005638583792131,0.025260107093346057,0.06532066508313539,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,XIRP2,2.6964657,8.818597,0.007007962513395587,0.025264861124333474,0.05938242280285035,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,TJAP1,2.6958718,0.8030077,0.007020465500437425,0.025306305708648922,0.14489311163895488,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ENSG00000288563,2.6956096,7.6140037,0.007025996454558499,0.02532261028544836,0.05938242280285035,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,KSR1,2.6951401,1.3545698,0.007035903718623981,0.02535104511637273,0.09619952494061758,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,LINC02803,2.6946015,2.210208,0.007047283379818963,0.02538840670510264,0.07482185273159145,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ENSG00000291077,2.6913292,0.7084894,0.0071167927802752,0.02563514463628945,0.1496437054631829,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,LINC02612,2.6910255,3.7420394,0.0071232762460635346,0.025654820913155293,0.06413301662707839,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ENSG00000291235,2.690045,1.7618222,0.00714423634414169,0.025719250838910083,0.0855106888361045,Control_G1S,up
